ID,Kpi,Grade,wbs,contractor
6536,welding on steel pipe,69,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6535,safety on site,71,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI
6534,structural steel,70,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI
6533,scaffold,75,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI
6532,pipe,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6531,safety on site,70,Storage systems for different types of gases in high-pressure containers,JM Y CM construcciones
6530,safety on site,57,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",SISTEMIdinsa
6529,safety excavation,57,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",SISTEMIdinsa
6528,safety excavation,66,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals",Proyecta
6527,safety excavation,61,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",Construcciones Garza
6526,concrete structural element,63,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals",JM Y CM construcciones
6525,concrete pouring,70,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",OMEGA constructora.
6524,backfilling and site improvement,69,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",OMEGA constructora.
6523,safety on site,67,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",OMEGA constructora.
6522,scissor lift,66,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",OMEGA constructora.
6521,safety on site,67,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones
6520,excavator,75,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones
6519,dump truck ,75,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones
6518,rebar,66,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones
6517,safety on site,63,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",JM Y CM construcciones
6516,excavator,72,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",IASSO
6515,block installation,69,"central station monitoring service or a central station fire alarm system. These systems provide continuous monitoring of fire alarm systems, ensuring immediate notification to emergency responders in the event of a fire or other emergency",Idinsa
6514,manual cutting with machine,67,"central station monitoring service or a central station fire alarm system. These systems provide continuous monitoring of fire alarm systems, ensuring immediate notification to emergency responders in the event of a fire or other emergency",Idinsa
6513,safety on site,67,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa
6512,safety on site,63,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa
6511,scaffold,59,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa
6510,portable air compressor,69,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",Proyecta
6509,goulds pumps,75,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",Proyecta
6508,manual cutting with machine,74,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Proyecta
6507,welding machine,66,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6506,welding on steel pipe,66,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6505,welding on steel pipe,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6504,welding on steel pipe,69,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6503,pipe,69,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6502,safety excavation,63,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6501,manual cutting with machine,68,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",JABC
6500,titan crane,72,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",JABC
6499,lifting ,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",JABC
6498,crane,71," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",JABC
6497,lifting ,71," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",JABC
6496,safety on site,63,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Hercules
6495,lifting ,71,"Piping interconnection is the process of connecting different pipes and services to create an integrated system. This process allows the flow of liquids, gases, or solids between different sections of the building.",GG
6494,scissor lift,71,"Piping interconnection is the process of connecting different pipes and services to create an integrated system. This process allows the flow of liquids, gases, or solids between different sections of the building.",GG
6493,pipe,70,"Piping interconnection is the process of connecting different pipes and services to create an integrated system. This process allows the flow of liquids, gases, or solids between different sections of the building.",GG
6492,structural steel,84,"structure designed and used for business purposes, such as administration, clerical work, and client consultations. Can range in size and may house multiple businesses. Typically multi-story, with elevators, air conditioning, parking, and security",Hercules
6491,safety on site,70,"structure designed and used for business purposes, such as administration, clerical work, and client consultations. Can range in size and may house multiple businesses. Typically multi-story, with elevators, air conditioning, parking, and security",Hercules
6490,safety on site,64,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6489,backfilling and site improvement,69,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6488,drum roller compactor,65,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6487,concrete pouring,69,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6486,formwork placement,74,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6485,excavator,62,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6484,backhoe loader ,66,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6483,welding on steel pipe,66,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6482,scissor lift,66,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6481,fire extinguisher,60,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6480,welding on steel pipe,68,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6479,scissor lift,65,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Aw AZTECA
6478,safety excavation,56,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",SISTEMIdinsa
6477,crane,72,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",SISTEMIdinsa
6476,lifting ,77,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",SISTEMIdinsa
6475,excavator,64,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",SISTEMIdinsa
6474,scissor lift,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Aw AZTECA
6473,welding on steel pipe,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Barosa
6472,backhoe loader ,68,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6471,pipe,72,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6470,scissor lift,72,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6469,scissor lift,71,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI
6468,welding machine,69,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI
6467,structural steel,81,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI
6466,scaffold,75,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI
6465,welding on steel pipe,66,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6464,titan crane,71," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",Sisttemex
6463,scissor lift,71," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",BAYSA
6462,scissor lift,71,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",JABC
6461,haulages,58,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6460,excavator,68,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6459,safety on site,60,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals",JM Y CM construcciones
6458,block installation,70,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals",JM Y CM construcciones
6457,safety on site,68,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa
6456,safety on site,64,"central station monitoring service or a central station fire alarm system. These systems provide continuous monitoring of fire alarm systems, ensuring immediate notification to emergency responders in the event of a fire or other emergency",Idinsa
6455,titan crane,73,"central station monitoring service or a central station fire alarm system. These systems provide continuous monitoring of fire alarm systems, ensuring immediate notification to emergency responders in the event of a fire or other emergency",Idinsa
6454,safety on site,69,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",Proyecta
6453,welding machine,67,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",Proyecta
6452,excavator,65,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",SISTEMIdinsa
6451,excavator,65,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",SISTEMIdinsa
6450,safety excavation,60,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6449,structural steel,60," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",Sisttemex
6448,scissor lift,67," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",Sisttemex
6447,titan crane,68," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",Sisttemex
6446,oxycut,70,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",LIBRA
6445,safety excavation,63,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",LIBRA
6444,scaffold,66," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",GCI
6443,oxycut process,69,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6442,manual cutting with machine,69,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6441,scissor lift,73,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6440,pipe,75,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6439,structural steel,63," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",Matesa
6438,crane,73," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",Matesa
6437,lifting ,70," building structures, primarily using steel or other metal materials for the main framework and support system. These structures are known for their strength, durability, and versatility, making them suitable for a wide range of applications",Matesa
6436,scissor lift,69,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",GG
6435,crane,73,"a structure supported by a metal framework, typically steel. These buildings can range from small sheds to large industrial facilities. Metal buildings are known for durability, strength, and versatility. offers cost-effective solutions ",AJAX
6434,safety on site,68,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa
6433,metal structure painting,81,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",Gumex
6432,scissor lift,70,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",Gumex
6431,formwork placement,68,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",JM Y CM construcciones
6430,water dispanser,64,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",Gumex
6429,safety on site,54,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6428,goulds pumps,75,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6427,safety on site,68,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",Gumex
6426,formwork placement,70,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",Velazquez
6425,scissor lift,70,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",Gumex
6424,metal structure painting,82,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",Gumex
6423,rammer compactor,70,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6422,excavator,74,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",IASSO
6421,wheel loader,73,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",IASSO
6420,concrete pouring,69,"a building that houses pumps and related equipment used to move fluids, such as water, sewage, or other liquids, from one place to another",JM Y CM construcciones
6419,scissor lift,66,"a building that houses pumps and related equipment used to move fluids, such as water, sewage, or other liquids, from one place to another",JM Y CM construcciones
6418,titan crane,72,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",SISTEMIdinsa
6417,safety on site,68,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6416,backhoe loader ,72,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",SISTEMIdinsa
6415,safety on site,67,Storage systems for different types of gases in high-pressure containers,JM Y CM construcciones
6414,scaffold,70,Storage systems for different types of gases in high-pressure containers,JM Y CM construcciones
6413,crane,72,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",JABC
6412,lifting ,77,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",JABC
6411,titan crane,74,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",PICSA
6410,plastic pipe welder machine,67,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",PICSA
6409,safety on site,57,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",EIMEX
6408,block installation,63,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",EIMEX
6407,oxycut process,70,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6406,electric generator,70,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6405,welding on steel pipe,69,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6404,safety excavation,56,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6403,pipe,72,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6402,wheel loader,74,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6401,safety excavation,59,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",SISTEMIdinsa
6400,fire extinguisher,70,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6399,excavator,64,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6398,infrastructure safety inspection,66,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6397,safety on site,63,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6396,oxycut,69,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6395,electrical panel,56,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6394,oxycut,70,"Cooling towers, which involves base preparation, structural installation, mechanical components, and the water distribution system.",FOSMON
6393,welding on steel pipe,63,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6392,titan crane,73,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6391,lifting ,74,"Piping interconnection is the process of connecting different pipes and services to create an integrated system. This process allows the flow of liquids, gases, or solids between different sections of the building.",HIDROTIC
6390,welding on steel pipe,63,"Piping interconnection is the process of connecting different pipes and services to create an integrated system. This process allows the flow of liquids, gases, or solids between different sections of the building.",HIDROTIC
